,customer_id,basket,date_of_purchase
0,C118,"[{'product_id': 'P63', 'price': 806}, {'product_id': 'P62', 'price': 376}]",2019-03-01 21:58:00
1,C112,"[{'product_id': 'P01', 'price': 1839}, {'product_id': 'P05', 'price': 1600}]",2019-03-01 17:32:00
2,C108,"[{'product_id': 'P22', 'price': 1898}, {'product_id': 'P31', 'price': 3}]",2019-03-01 15:50:00
3,C107,"[{'product_id': 'P26', 'price': 223}, {'product_id': 'P23', 'price': 1663}]",2019-03-01 18:12:00
4,C97,"[{'product_id': 'P06', 'price': 1743}, {'product_id': 'P04', 'price': 1752}, {'product_id': 'P01', 'price': 1554}]",2019-03-01 09:41:00
5,C92,"[{'product_id': 'P34', 'price': 120}, {'product_id': 'P22', 'price': 1283}, {'product_id': 'P34', 'price': 1122}]",2019-03-01 19:45:00
6,C82,"[{'product_id': 'P33', 'price': 330}, {'product_id': 'P32', 'price': 894}]",2019-03-01 06:47:00
7,C73,"[{'product_id': 'P28', 'price': 1322}, {'product_id': 'P26', 'price': 86}, {'product_id': 'P23', 'price': 1814}]",2019-03-01 09:18:00
8,C68,"[{'product_id': 'P42', 'price': 713}, {'product_id': 'P51', 'price': 68}]",2019-03-01 06:13:00
9,C63,"[{'product_id': 'P37', 'price': 775}, {'product_id': 'P39', 'price': 16}]",2019-03-01 05:55:00
10,C53,"[{'product_id': 'P33', 'price': 1266}, {'product_id': 'P28', 'price': 1597}]",2019-03-01 16:53:00
11,C52,"[{'product_id': 'P47', 'price': 104}, {'product_id': 'P51', 'price': 1708}, {'product_id': 'P44', 'price': 85}]",2019-03-01 11:21:00
12,C44,"[{'product_id': 'P27', 'price': 1721}, {'product_id': 'P33', 'price': 1243}]",2019-03-01 12:27:00
13,C39,"[{'product_id': 'P23', 'price': 1298}, {'product_id': 'P31', 'price': 1335}, {'product_id': 'P28', 'price': 50}]",2019-03-01 22:52:00
14,C22,"[{'product_id': 'P38', 'price': 585}, {'product_id': 'P40', 'price': 846}]",2019-03-01 14:29:00
15,C18,"[{'product_id': 'P30', 'price': 813}, {'product_id': 'P28', 'price': 1442}, {'product_id': 'P32', 'price': 1952}]",2019-03-01 05:30:00
16,C15,"[{'product_id': 'P15', 'price': 358}, {'product_id': 'P13', 'price': 201}]",2019-03-01 13:06:00
17,C13,"[{'product_id': 'P30', 'price': 1380}]",2019-03-01 13:33:00
18,C11,"[{'product_id': 'P37', 'price': 529}]",2019-03-01 16:26:00
19,C9,"[{'product_id': 'P07', 'price': 77}]",2019-03-01 10:18:00
20,C137,"[{'product_id': 'P54', 'price': 1771}, {'product_id': 'P58', 'price': 1912}]",2019-02-28 15:06:00
21,C135,"[{'product_id': 'P62', 'price': 1712}, {'product_id': 'P61', 'price': 1545}]",2019-02-28 05:27:00
22,C130,"[{'product_id': 'P35', 'price': 781}, {'product_id': 'P37', 'price': 1905}]",2019-02-28 16:22:00
23,C119,"[{'product_id': 'P22', 'price': 1980}, {'product_id': 'P30', 'price': 238}, {'product_id': 'P33', 'price': 1484}]",2019-02-28 20:36:00
24,C114,"[{'product_id': 'P40', 'price': 1036}]",2019-02-28 21:23:00
25,C113,"[{'product_id': 'P02', 'price': 1602}]",2019-02-28 13:35:00
26,C110,"[{'product_id': 'P40', 'price': 1748}]",2019-02-28 07:34:00
27,C100,"[{'product_id': 'P13', 'price': 1546}, {'product_id': 'P20', 'price': 880}, {'product_id': 'P17', 'price': 1750}]",2019-02-28 18:08:00
28,C99,"[{'product_id': 'P30', 'price': 1982}, {'product_id': 'P25', 'price': 158}]",2019-02-28 14:37:00
29,C97,"[{'product_id': 'P54', 'price': 1654}, {'product_id': 'P55', 'price': 1198}]",2019-02-28 03:03:00
30,C95,"[{'product_id': 'P59', 'price': 60}, {'product_id': 'P54', 'price': 1219}, {'product_id': 'P59', 'price': 1859}]",2019-02-28 04:34:00
31,C92,"[{'product_id': 'P34', 'price': 399}, {'product_id': 'P28', 'price': 1867}, {'product_id': 'P28', 'price': 1640}]",2019-02-28 10:18:00
32,C89,"[{'product_id': 'P11', 'price': 1523}, {'product_id': 'P04', 'price': 1147}, {'product_id': 'P05', 'price': 534}]",2019-02-28 11:01:00
33,C88,"[{'product_id': 'P46', 'price': 120}, {'product_id': 'P48', 'price': 561}, {'product_id': 'P51', 'price': 207}]",2019-02-28 18:16:00
34,C86,"[{'product_id': 'P11', 'price': 1541}]",2019-02-28 14:01:00
35,C84,"[{'product_id': 'P40', 'price': 1124}]",2019-02-28 11:52:00
36,C75,"[{'product_id': 'P36', 'price': 944}, {'product_id': 'P38', 'price': 1543}, {'product_id': 'P37', 'price': 617}]",2019-02-28 03:46:00
37,C69,"[{'product_id': 'P09', 'price': 956}, {'product_id': 'P12', 'price': 1048}]",2019-02-28 13:35:00
38,C62,"[{'product_id': 'P61', 'price': 1144}, {'product_id': 'P62', 'price': 208}]",2019-02-28 08:14:00
39,C57,"[{'product_id': 'P33', 'price': 1373}, {'product_id': 'P28', 'price': 1949}]",2019-02-28 12:06:00
40,C54,"[{'product_id': 'P25', 'price': 1963}, {'product_id': 'P28', 'price': 1183}, {'product_id': 'P30', 'price': 414}]",2019-02-28 23:05:00
41,C53,"[{'product_id': 'P33', 'price': 1057}, {'product_id': 'P27', 'price': 1505}]",2019-02-28 16:48:00
42,C51,"[{'product_id': 'P62', 'price': 1423}, {'product_id': 'P64', 'price': 1689}]",2019-02-28 09:31:00
43,C42,"[{'product_id': 'P38', 'price': 1751}]",2019-02-28 20:59:00
44,C39,"[{'product_id': 'P31', 'price': 38}, {'product_id': 'P25', 'price': 1041}, {'product_id': 'P29', 'price': 1371}]",2019-02-28 07:51:00
45,C28,"[{'product_id': 'P50', 'price': 207}, {'product_id': 'P49', 'price': 97}, {'product_id': 'P44', 'price': 827}]",2019-02-28 03:09:00
46,C25,"[{'product_id': 'P39', 'price': 1965}, {'product_id': 'P36', 'price': 1413}, {'product_id': 'P36', 'price': 1235}]",2019-02-28 09:14:00
47,C23,"[{'product_id': 'P61', 'price': 700}, {'product_id': 'P62', 'price': 310}, {'product_id': 'P61', 'price': 449}]",2019-02-28 18:28:00
48,C12,"[{'product_id': 'P57', 'price': 689}, {'product_id': 'P52', 'price': 998}]",2019-02-28 07:09:00
49,C130,"[{'product_id': 'P24', 'price': 681}, {'product_id': 'P24', 'price': 623}, {'product_id': 'P33', 'price': 1822}]",2019-02-27 07:20:00
50,C126,"[{'product_id': 'P36', 'price': 107}, {'product_id': 'P39', 'price': 564}, {'product_id': 'P38', 'price': 1116}]",2019-02-27 20:45:00
51,C120,"[{'product_id': 'P06', 'price': 1875}, {'product_id': 'P08', 'price': 1404}, {'product_id': 'P12', 'price': 1201}]",2019-02-27 23:03:00
52,C116,"[{'product_id': 'P47', 'price': 1465}, {'product_id': 'P47', 'price': 1421}, {'product_id': 'P47', 'price': 1177}]",2019-02-27 17:13:00
53,C103,"[{'product_id': 'P40', 'price': 878}, {'product_id': 'P40', 'price': 797}, {'product_id': 'P35', 'price': 151}]",2019-02-27 06:52:00
54,C92,"[{'product_id': 'P32', 'price': 802}, {'product_id': 'P30', 'price': 12}]",2019-02-27 14:40:00
55,C90,"[{'product_id': 'P23', 'price': 1769}, {'product_id': 'P31', 'price': 1519}]",2019-02-27 09:00:00
56,C88,"[{'product_id': 'P51', 'price': 475}, {'product_id': 'P58', 'price': 1090}, {'product_id': 'P51', 'price': 1095}]",2019-02-27 12:48:00
57,C86,"[{'product_id': 'P04', 'price': 234}]",2019-02-27 20:49:00
58,C79,"[{'product_id': 'P53', 'price': 1128}, {'product_id': 'P49', 'price': 1443}]",2019-02-27 12:54:00
59,C70,"[{'product_id': 'P33', 'price': 716}]",2019-02-27 09:51:00
60,C67,"[{'product_id': 'P63', 'price': 1158}]",2019-02-27 05:36:00
61,C60,"[{'product_id': 'P38', 'price': 50}]",2019-02-27 22:35:00
62,C54,"[{'product_id': 'P64', 'price': 87}, {'product_id': 'P64', 'price': 434}]",2019-02-27 15:50:00
63,C53,"[{'product_id': 'P22', 'price': 1281}, {'product_id': 'P28', 'price': 1901}]",2019-02-27 20:12:00
64,C51,"[{'product_id': 'P33', 'price': 249}]",2019-02-27 08:37:00
65,C49,"[{'product_id': 'P32', 'price': 1752}, {'product_id': 'P29', 'price': 1068}]",2019-02-27 07:11:00
66,C40,"[{'product_id': 'P14', 'price': 256}, {'product_id': 'P21', 'price': 224}]",2019-02-27 09:55:00
67,C39,"[{'product_id': 'P22', 'price': 1952}, {'product_id': 'P32', 'price': 275}]",2019-02-27 18:31:00
68,C37,"[{'product_id': 'P22', 'price': 1674}, {'product_id': 'P33', 'price': 1046}, {'product_id': 'P29', 'price': 1752}]",2019-02-27 19:43:00
69,C34,"[{'product_id': 'P44', 'price': 941}, {'product_id': 'P58', 'price': 957}]",2019-02-27 15:49:00
70,C21,"[{'product_id': 'P32', 'price': 602}, {'product_id': 'P32', 'price': 54}, {'product_id': 'P23', 'price': 395}]",2019-02-27 19:33:00
71,C19,"[{'product_id': 'P08', 'price': 1240}, {'product_id': 'P10', 'price': 962}]",2019-02-27 16:05:00
72,C13,"[{'product_id': 'P25', 'price': 299}, {'product_id': 'P33', 'price': 1794}]",2019-02-27 16:43:00
73,C137,"[{'product_id': 'P63', 'price': 1229}, {'product_id': 'P62', 'price': 945}, {'product_id': 'P61', 'price': 873}]",2019-02-26 03:16:00
74,C135,"[{'product_id': 'P09', 'price': 1558}]",2019-02-26 10:19:00
75,C126,"[{'product_id': 'P25', 'price': 514}, {'product_id': 'P32', 'price': 1139}]",2019-02-26 15:23:00
76,C123,"[{'product_id': 'P03', 'price': 1498}, {'product_id': 'P07', 'price': 1073}, {'product_id': 'P05', 'price': 447}]",2019-02-26 21:08:00
77,C117,"[{'product_id': 'P53', 'price': 1203}, {'product_id': 'P56', 'price': 1634}, {'product_id': 'P46', 'price': 1139}]",2019-02-26 11:00:00
78,C112,"[{'product_id': 'P59', 'price': 96}]",2019-02-26 05:07:00
79,C110,"[{'product_id': 'P35', 'price': 761}, {'product_id': 'P36', 'price': 81}]",2019-02-26 20:25:00
80,C108,"[{'product_id': 'P09', 'price': 732}, {'product_id': 'P06', 'price': 1072}]",2019-02-26 13:55:00
81,C106,"[{'product_id': 'P23', 'price': 1304}]",2019-02-26 20:10:00
82,C102,"[{'product_id': 'P44', 'price': 728}, {'product_id': 'P47', 'price': 593}]",2019-02-26 17:19:00
83,C100,"[{'product_id': 'P19', 'price': 1122}, {'product_id': 'P14', 'price': 1242}, {'product_id': 'P21', 'price': 9}]",2019-02-26 10:54:00
84,C99,"[{'product_id': 'P64', 'price': 1379}, {'product_id': 'P61', 'price': 477}, {'product_id': 'P64', 'price': 1961}]",2019-02-26 09:58:00
85,C84,"[{'product_id': 'P40', 'price': 1700}, {'product_id': 'P38', 'price': 1253}]",2019-02-26 22:39:00
86,C72,"[{'product_id': 'P20', 'price': 1027}]",2019-02-26 09:42:00
87,C68,"[{'product_id': 'P28', 'price': 1571}]",2019-02-26 13:33:00
88,C63,"[{'product_id': 'P34', 'price': 251}, {'product_id': 'P23', 'price': 1391}, {'product_id': 'P27', 'price': 1163}]",2019-02-26 03:37:00
89,C58,"[{'product_id': 'P58', 'price': 538}, {'product_id': 'P52', 'price': 1167}, {'product_id': 'P55', 'price': 1929}]",2019-02-26 12:15:00
90,C57,"[{'product_id': 'P24', 'price': 1853}, {'product_id': 'P23', 'price': 809}]",2019-02-26 18:15:00
91,C56,"[{'product_id': 'P14', 'price': 1556}, {'product_id': 'P20', 'price': 507}]",2019-02-26 18:07:00
92,C48,"[{'product_id': 'P61', 'price': 241}, {'product_id': 'P64', 'price': 1579}, {'product_id': 'P63', 'price': 1939}]",2019-02-26 15:25:00
93,C38,"[{'product_id': 'P01', 'price': 1905}]",2019-02-26 19:03:00
94,C37,"[{'product_id': 'P26', 'price': 1355}, {'product_id': 'P31', 'price': 1903}, {'product_id': 'P24', 'price': 345}]",2019-02-26 14:59:00
95,C35,"[{'product_id': 'P11', 'price': 124}, {'product_id': 'P08', 'price': 356}, {'product_id': 'P03', 'price': 578}]",2019-02-26 09:21:00
96,C30,"[{'product_id': 'P22', 'price': 859}, {'product_id': 'P33', 'price': 1929}, {'product_id': 'P23', 'price': 1471}]",2019-02-26 12:46:00
97,C21,"[{'product_id': 'P26', 'price': 919}, {'product_id': 'P32', 'price': 177}]",2019-02-26 20:46:00
98,C14,"[{'product_id': 'P28', 'price': 259}]",2019-02-26 16:15:00
99,C12,"[{'product_id': 'P44', 'price': 1554}]",2019-02-26 21:08:00
100,C8,"[{'product_id': 'P45', 'price': 134}]",2019-02-26 04:38:00
101,C7,"[{'product_id': 'P41', 'price': 182}, {'product_id': 'P50', 'price': 1781}]",2019-02-26 23:50:00
102,C1,"[{'product_id': 'P38', 'price': 7}, {'product_id': 'P36', 'price': 913}, {'product_id': 'P36', 'price': 756}]",2019-02-26 15:48:00
103,C136,"[{'product_id': 'P24', 'price': 350}, {'product_id': 'P33', 'price': 1922}, {'product_id': 'P26', 'price': 391}]",2019-02-25 08:13:00
104,C125,"[{'product_id': 'P34', 'price': 1711}]",2019-02-25 21:57:00
105,C114,"[{'product_id': 'P24', 'price': 200}, {'product_id': 'P31', 'price': 1592}, {'product_id': 'P29', 'price': 1805}]",2019-02-25 20:29:00
106,C112,"[{'product_id': 'P64', 'price': 687}]",2019-02-25 23:11:00
107,C109,"[{'product_id': 'P54', 'price': 1534}, {'product_id': 'P59', 'price': 607}]",2019-02-25 20:26:00
108,C104,"[{'product_id': 'P23', 'price': 1740}, {'product_id': 'P22', 'price': 1832}, {'product_id': 'P28', 'price': 420}]",2019-02-25 20:24:00
109,C100,"[{'product_id': 'P13', 'price': 104}, {'product_id': 'P20', 'price': 222}, {'product_id': 'P21', 'price': 1283}]",2019-02-25 20:03:00
110,C98,"[{'product_id': 'P37', 'price': 1884}, {'product_id': 'P36', 'price': 156}]",2019-02-25 12:32:00
111,C88,"[{'product_id': 'P45', 'price': 1416}, {'product_id': 'P56', 'price': 911}, {'product_id': 'P43', 'price': 979}]",2019-02-25 23:09:00
112,C84,"[{'product_id': 'P35', 'price': 1739}, {'product_id': 'P36', 'price': 1904}]",2019-02-25 06:08:00
113,C80,"[{'product_id': 'P34', 'price': 1025}, {'product_id': 'P24', 'price': 1015}, {'product_id': 'P32', 'price': 1971}]",2019-02-25 17:53:00
114,C71,"[{'product_id': 'P40', 'price': 1806}, {'product_id': 'P39', 'price': 837}, {'product_id': 'P39', 'price': 1519}]",2019-02-25 06:13:00
115,C62,"[{'product_id': 'P64', 'price': 745}, {'product_id': 'P64', 'price': 1253}, {'product_id': 'P63', 'price': 825}]",2019-02-25 06:52:00
116,C61,"[{'product_id': 'P32', 'price': 493}, {'product_id': 'P31', 'price': 452}, {'product_id': 'P30', 'price': 1561}]",2019-02-25 04:38:00
117,C51,"[{'product_id': 'P62', 'price': 1415}, {'product_id': 'P62', 'price': 889}]",2019-02-25 06:46:00
118,C50,"[{'product_id': 'P27', 'price': 1047}, {'product_id': 'P27', 'price': 1138}]",2019-02-25 20:22:00
119,C45,"[{'product_id': 'P62', 'price': 1914}]",2019-02-25 08:37:00
120,C44,"[{'product_id': 'P39', 'price': 1283}]",2019-02-25 22:48:00
121,C42,"[{'product_id': 'P35', 'price': 396}]",2019-02-25 07:15:00
122,C39,"[{'product_id': 'P49', 'price': 958}]",2019-02-25 19:21:00
123,C36,"[{'product_id': 'P25', 'price': 1016}, {'product_id': 'P27', 'price': 1825}]",2019-02-25 18:31:00
124,C29,"[{'product_id': 'P02', 'price': 1111}]",2019-02-25 02:49:00
125,C26,"[{'product_id': 'P14', 'price': 1413}]",2019-02-25 18:36:00
126,C25,"[{'product_id': 'P37', 'price': 1719}]",2019-02-25 12:28:00
127,C16,"[{'product_id': 'P26', 'price': 756}, {'product_id': 'P33', 'price': 678}]",2019-02-25 13:11:00
128,C13,"[{'product_id': 'P23', 'price': 407}]",2019-02-25 11:48:00
129,C8,"[{'product_id': 'P36', 'price': 1016}]",2019-02-25 07:31:00
130,C1,"[{'product_id': 'P38', 'price': 149}, {'product_id': 'P38', 'price': 1724}]",2019-02-25 07:55:00
131,C135,"[{'product_id': 'P11', 'price': 696}, {'product_id': 'P12', 'price': 1353}]",2019-02-24 09:27:00
132,C129,"[{'product_id': 'P47', 'price': 1249}]",2019-02-24 22:46:00
133,C117,"[{'product_id': 'P38', 'price': 454}, {'product_id': 'P39', 'price': 1856}, {'product_id': 'P37', 'price': 859}]",2019-02-24 09:49:00
134,C112,"[{'product_id': 'P20', 'price': 886}, {'product_id': 'P19', 'price': 1288}, {'product_id': 'P13', 'price': 1241}]",2019-02-24 20:54:00
135,C99,"[{'product_id': 'P36', 'price': 166}, {'product_id': 'P37', 'price': 284}]",2019-02-24 11:30:00
136,C97,"[{'product_id': 'P57', 'price': 974}, {'product_id': 'P53', 'price': 1689}]",2019-02-24 13:36:00
137,C92,"[{'product_id': 'P30', 'price': 636}, {'product_id': 'P23', 'price': 1500}, {'product_id': 'P24', 'price': 330}]",2019-02-24 19:39:00
138,C87,"[{'product_id': 'P37', 'price': 1238}, {'product_id': 'P35', 'price': 1253}, {'product_id': 'P35', 'price': 533}]",2019-02-24 16:50:00
139,C83,"[{'product_id': 'P44', 'price': 462}, {'product_id': 'P55', 'price': 662}, {'product_id': 'P49', 'price': 1170}]",2019-02-24 07:30:00
140,C82,"[{'product_id': 'P23', 'price': 1251}, {'product_id': 'P30', 'price': 266}, {'product_id': 'P24', 'price': 1774}]",2019-02-24 04:55:00
141,C78,"[{'product_id': 'P27', 'price': 1311}]",2019-02-24 08:59:00
142,C76,"[{'product_id': 'P44', 'price': 483}]",2019-02-24 21:54:00
143,C67,"[{'product_id': 'P57', 'price': 1805}, {'product_id': 'P51', 'price': 181}, {'product_id': 'P59', 'price': 1183}]",2019-02-24 07:06:00
144,C65,"[{'product_id': 'P35', 'price': 525}]",2019-02-24 04:11:00
145,C63,"[{'product_id': 'P64', 'price': 291}]",2019-02-24 11:44:00
146,C61,"[{'product_id': 'P23', 'price': 1899}]",2019-02-24 12:47:00
147,C60,"[{'product_id': 'P51', 'price': 1806}]",2019-02-24 15:09:00
148,C53,"[{'product_id': 'P50', 'price': 1233}, {'product_id': 'P51', 'price': 230}]",2019-02-24 04:47:00
149,C48,"[{'product_id': 'P63', 'price': 1169}]",2019-02-24 11:41:00
150,C35,"[{'product_id': 'P36', 'price': 606}, {'product_id': 'P37', 'price': 613}, {'product_id': 'P38', 'price': 138}]",2019-02-24 06:01:00
151,C28,"[{'product_id': 'P57', 'price': 310}]",2019-02-24 17:27:00
152,C27,"[{'product_id': 'P27', 'price': 1864}, {'product_id': 'P34', 'price': 211}, {'product_id': 'P23', 'price': 1344}]",2019-02-24 08:10:00
153,C25,"[{'product_id': 'P42', 'price': 1481}]",2019-02-24 22:57:00
154,C21,"[{'product_id': 'P33', 'price': 813}, {'product_id': 'P34', 'price': 356}]",2019-02-24 10:12:00
155,C13,"[{'product_id': 'P36', 'price': 986}]",2019-02-24 14:44:00
156,C8,"[{'product_id': 'P36', 'price': 1132}, {'product_id': 'P38', 'price': 1788}]",2019-02-24 21:53:00
157,C6,"[{'product_id': 'P26', 'price': 1893}]",2019-02-24 14:11:00
158,C5,"[{'product_id': 'P56', 'price': 1868}, {'product_id': 'P45', 'price': 825}, {'product_id': 'P52', 'price': 315}]",2019-02-24 06:53:00
159,C4,"[{'product_id': 'P35', 'price': 309}, {'product_id': 'P38', 'price': 1814}]",2019-02-24 22:33:00
160,C132,"[{'product_id': 'P28', 'price': 27}, {'product_id': 'P31', 'price': 1320}]",2019-02-23 04:19:00
161,C125,"[{'product_id': 'P26', 'price': 774}, {'product_id': 'P24', 'price': 1129}]",2019-02-23 14:46:00
162,C120,"[{'product_id': 'P06', 'price': 1715}, {'product_id': 'P05', 'price': 1199}, {'product_id': 'P06', 'price': 622}]",2019-02-23 09:56:00
163,C114,"[{'product_id': 'P46', 'price': 64}]",2019-02-23 17:00:00
164,C103,"[{'product_id': 'P37', 'price': 1340}, {'product_id': 'P38', 'price': 1117}]",2019-02-23 15:59:00
165,C99,"[{'product_id': 'P27', 'price': 1194}, {'product_id': 'P32', 'price': 1575}, {'product_id': 'P22', 'price': 1102}]",2019-02-23 17:37:00
166,C92,"[{'product_id': 'P24', 'price': 40}]",2019-02-23 21:28:00
167,C87,"[{'product_id': 'P37', 'price': 1658}]",2019-02-23 12:00:00
168,C85,"[{'product_id': 'P62', 'price': 1560}, {'product_id': 'P64', 'price': 380}, {'product_id': 'P63', 'price': 329}]",2019-02-23 17:58:00
